DSX_Opponent,Opponent_of_Opponent
Pataskala Futbol Club Extreme,Dublin United Soccer Club DUSC Nets 2016 Boys
Pataskala Futbol Club Extreme,Old Town Soccer Club OTSC 2018 Boys
Pataskala Futbol Club Extreme,Granville United FC Granville United FC 2018 Boys
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Blast FC Soccer Academy Blast FC 2018B
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Polaris Soccer Club Polaris SC 18B Navy
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Sporting Columbus Sporting Columbus Boys 2018 II
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Delaware Knights Delaware Knights 2018 BU08
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Columbus Force SC CE 2018B Net Ninjas
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Johnstown FC Johnstown FC 2018 Boys
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Upper Arlington United UAU 2018 BU U8 BLACK
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Elite FC Elite FC 2018 Boys Liverpool
Pride Soccer Club Pride SC 2019/2018 Boys Copa,LFC United LFC United 2018 B Elite
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Club Ohio Club Ohio West 18B Academy II
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Northwest FC Northwest FC 2018B Academy Blue
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Dublin United Soccer Club DUSC Sharks 2018 Boys
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Grove City Kids Association GCKA 2018B
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Elite FC Elite FC 2018 Boys Tottenham
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Club Oranje Club Oranje Raptors 2018 BU08 Navy
Pride Soccer Club Pride SC 2019/2018 Boys Copa,LFC United LFC United 2018 B Elite 2
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Worthington United WSP Hawkeyes Blue SC 2018 Boys
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Zanesville Arsenal SC Zanesville Arsenal SC 2018B
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Barcelona United Barcelona United Elite II 18B
Pride Soccer Club Pride SC 2019/2018 Boys Copa,NASA Xtabi NASA Xtabi 2018 Boys
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Dublin United Soccer Club DUSC Nets 2016 Boys
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Old Town Soccer Club OTSC 2018 Boys
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Granville United FC Granville United FC 2018 Boys
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Blast FC Soccer Academy Blast FC 2018B
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Polaris Soccer Club Polaris SC 18B Navy
