Discovered_Team,Matched_Known_Team,EventID,GroupID,SourceURL,Division,Current_GP,Has_Game_Data
Club Oranje Club Oranje Raptors 2017 BU09 Oranje,Club Oranje Club Oranje Raptors 2018 BU08 Navy,44565,389754,https://system.gotsport.com/org_event/events/44565/results?group=389754,Schedule,0,False
Columbus Force SC Columbus Force 18B Premier,Columbus Force SC CE 2018B Net Ninjas,45535,418523,https://system.gotsport.com/org_event/events/45535/results?group=418523,Schedule,0,False
Club Oranje Club Oranje Raptors 2018 BU08 Oranje,Club Oranje Club Oranje Raptors 2018 BU08 Navy,45535,418524,https://system.gotsport.com/org_event/events/45535/results?group=418524,Schedule,0,False
Columbus Force SC CE 2018B Net Ninjas,Columbus Force SC CE 2018B Net Ninjas,45535,418528,https://system.gotsport.com/org_event/events/45535/results?group=418528,Schedule,0,False
Delaware Knights Delaware Knights 2018 BU08,Delaware Knights Delaware Knights 2018 BU08,45535,418528,https://system.gotsport.com/org_event/events/45535/results?group=418528,Schedule,0,False
Johnstown FC Johnstown FC 2018 Boys,Johnstown FC Johnstown FC 2018 Boys,45535,418528,https://system.gotsport.com/org_event/events/45535/results?group=418528,Schedule,0,False
Polaris Soccer Club Polaris SC 18B Navy,Polaris Soccer Club Polaris SC 18B Navy,45535,418528,https://system.gotsport.com/org_event/events/45535/results?group=418528,Schedule,0,False
Dublin United Soccer Club DUSC Sharks 2018 Boys,Dublin United Soccer Club DUSC Sharks 2018 Boys,45535,418528,https://system.gotsport.com/org_event/events/45535/results?group=418528,Schedule,0,False
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Club Oranje Club Oranje Raptors 2018 BU08 Navy,45535,418528,https://system.gotsport.com/org_event/events/45535/results?group=418528,Schedule,0,False
Upper Arlington United UAU 2018 BU U8 BLACK,Upper Arlington United UAU 2018 BU U8 BLACK,45535,418528,https://system.gotsport.com/org_event/events/45535/results?group=418528,Schedule,0,False
Lancaster Select Soccer Association,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys,45535,418528,https://system.gotsport.com/org_event/events/45535/results?group=418528,Schedule,0,False
Pataskala Futbol Club Extreme,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black,45535,418528,https://system.gotsport.com/org_event/events/45535/results?group=418528,Schedule,0,False
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Pride Soccer Club Pride SC 2019/2018 Boys Copa,45535,418528,https://system.gotsport.com/org_event/events/45535/results?group=418528,Schedule,0,False
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Columbus Force SC CE 2018B Net Ninjas,45535,418528,https://system.gotsport.com/org_event/events/45535/results?group=418528,Schedule,0,False
NASA Xtabi NASA Xtabi 2018 Boys,NASA Xtabi NASA Xtabi 2018 Boys,45535,418528,https://system.gotsport.com/org_event/events/45535/results?group=418528,Schedule,0,False
Columbus Force SC Columbus Force 18B Blue,Columbus Force SC CE 2018B Net Ninjas,45535,418525,https://system.gotsport.com/org_event/events/45535/results?group=418525,Schedule,0,False
Club Oranje Club Oranje Raptors 2017 BU09 Oranje,Club Oranje Club Oranje Raptors 2018 BU08 Navy,45535,417559,https://system.gotsport.com/org_event/events/45535/results?group=417559,Schedule,0,False
Columbus Force SC Columbus Force 17B Premier,Columbus Force SC CE 2018B Net Ninjas,45535,417559,https://system.gotsport.com/org_event/events/45535/results?group=417559,Schedule,0,False
Zanesville Arsenal SC Zanesville Arsenal SC 2017B,Zanesville Arsenal SC Zanesville Arsenal SC 2018B,45535,418531,https://system.gotsport.com/org_event/events/45535/results?group=418531,Schedule,0,False
Polaris Soccer Club Polaris SC 17B Navy,Polaris Soccer Club Polaris SC 18B Navy,45535,418531,https://system.gotsport.com/org_event/events/45535/results?group=418531,Schedule,0,False
Columbus Force SC Columbus Force 17B Blue,Columbus Force SC CE 2018B Net Ninjas,45535,418531,https://system.gotsport.com/org_event/events/45535/results?group=418531,Schedule,0,False
Pride Soccer Club Pride SC 2017B Copa,Pride Soccer Club Pride SC 2019/2018 Boys Copa,45535,418533,https://system.gotsport.com/org_event/events/45535/results?group=418533,Schedule,0,False
Club Oranje Club Oranje Raptors 2017 BU09 Navy,Club Oranje Club Oranje Raptors 2018 BU08 Navy,45535,418533,https://system.gotsport.com/org_event/events/45535/results?group=418533,Schedule,0,False
Columbus Force SC Columbus Force 17B White,Columbus Force SC CE 2018B Net Ninjas,45535,418533,https://system.gotsport.com/org_event/events/45535/results?group=418533,Schedule,0,False
Polaris Soccer Club Polaris SC 17B Gray,Polaris Soccer Club Polaris SC 18B Navy,45535,418533,https://system.gotsport.com/org_event/events/45535/results?group=418533,Schedule,0,False
Upper Arlington United UAU 2017 BU U9 GOLD,Upper Arlington United UAU 2018 BU U8 BLACK,45535,418533,https://system.gotsport.com/org_event/events/45535/results?group=418533,Schedule,0,False
Columbus Force SC CE 2017B Soccer Sharks,Columbus Force SC CE 2018B Net Ninjas,45535,418537,https://system.gotsport.com/org_event/events/45535/results?group=418537,Schedule,0,False
Delaware Knights Delaware Knights 2017 BU09,Delaware Knights Delaware Knights 2018 BU08,45535,418537,https://system.gotsport.com/org_event/events/45535/results?group=418537,Schedule,0,False
Johnstown FC Johnstown FC 2017 Boys,Johnstown FC Johnstown FC 2018 Boys,45535,418537,https://system.gotsport.com/org_event/events/45535/results?group=418537,Schedule,0,False
NASA Xtabi NASA Xtabi 2017 Boys,NASA Xtabi NASA Xtabi 2018 Boys,45535,418537,https://system.gotsport.com/org_event/events/45535/results?group=418537,Schedule,0,False
Upper Arlington United UAU 2017 BU U9 SILVER,Upper Arlington United UAU 2018 BU U8 BLACK,45535,418537,https://system.gotsport.com/org_event/events/45535/results?group=418537,Schedule,0,False
Columbus Force SC CE 2016B Mini Bishops,Columbus Force SC CE 2018B Net Ninjas,45535,418541,https://system.gotsport.com/org_event/events/45535/results?group=418541,Schedule,0,False
Polaris Soccer Club Polaris SC 16B Navy,Polaris Soccer Club Polaris SC 18B Navy,45535,418541,https://system.gotsport.com/org_event/events/45535/results?group=418541,Schedule,0,False
Club Oranje Club Oranje Raptors 2016 BU10 Oranje,Club Oranje Club Oranje Raptors 2018 BU08 Navy,45535,418542,https://system.gotsport.com/org_event/events/45535/results?group=418542,Schedule,0,False
